"name","fold","tstat","pvalue","anova","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","wt:0","2157:0","wt:3","2157:3","wt:6","2157:6","wt:12","2157:12","wt:24","2157:24","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48"
"M149T457",1.68333579665293,40.6882741612088,1.46531897726732e-10,1.02661871953262e-13,149.047387062934,149.041256846376,149.094729087866,457.132236006602,399.863065113989,490.353130256895,46,5,5,5,3,5,1,3,5,4,5,70559.4706203774,68920.90958188,67442.2413264409,71291.5315547379,67166.9523160698,59783.4302308477,81343.8499032536,80761.9984946284,68322.6830548004,70777.3348856811,79821.5210411803,88215.1972065623,56693.4222325951,95657.196898005,101493.926912745,113981.945090836,104381.081120996,101754.328154408,105509.152546038,108388.244802198,100248.379938102,114114.891194255,101524.33575025,110933.788522653,112343.295058068,89047.8318578944,117966.049060491,115252.49937754,117238.581714778,114049.727284654,112546.280286157,124466.078064872,106489.29974721,117441.084304027,119061.416397704,127002.470468596,120155.152761785,120916.023593308,119717.126169692,116559.74268671,125774.565746377,115475.958162382,124351.891666518,117713.879926177,117376.797293631,116750.595030729,113122.933242108,116428.1727139
"M123T1009",2.31778119727728,-47.8894873877732,2.25485186078345e-09,8.70027210178109e-31,122.963805777921,122.963039560638,122.964188676479,1008.50919087265,1007.55890134982,1010.51303125312,48,5,5,5,3,5,5,5,5,5,5,332881.275843079,340789.487976532,321526.575647302,325673.726685694,334983.352940889,277331.146445902,284636.371679945,268649.808476709,265566.449051553,247803.044586202,253767.952807536,247899.623997377,234867.438980673,230274.381667407,230797.304571251,193450.826602255,216695.800706052,207716.290171411,209229.301622314,202018.198005325,197800.523576181,202348.723536645,205692.96522418,196400.767259625,200979.890654631,167553.00504816,186853.495157519,186613.962505382,176615.819139674,175556.229702382,171155.385399644,176522.412449328,171499.512942509,168449.063798398,171641.322048406,177481.239257307,171876.209816768,168428.361335675,176689.673407186,171624.44244067,160527.256849824,157190.711007085,166012.363367453,143816.421740385,148906.880625658,143170.486247795,136763.428642331,141756.387029967
"M82T1009",2.20625117336923,-31.1284792370631,3.35848149290996e-09,2.33465172489026e-28,81.9376557195354,81.9372541692385,81.9379388714989,1008.58854355194,1007.1439485971,1010.51303125312,48,5,5,5,3,5,5,5,5,5,5,106850.995500006,113604.580905839,106219.906010087,106544.994715804,111562.376297627,94677.7291637375,95619.285890818,94487.7896325558,90599.1186737022,86280.4494279395,87184.6137816851,83644.4579170833,77598.0138713283,76961.811694109,77982.2810822972,64912.8406183822,72966.8722886922,68843.1846877823,69777.3852210562,70929.9533935487,67924.393962917,69441.0878090956,72550.3369711806,67616.1418356989,69345.6664455224,59127.8429708438,65355.3642922352,63932.4226474202,60101.3927297146,58713.6804884799,60349.8611864557,61126.6476246102,60373.4163142777,57049.4490692601,59932.5360619216,60652.5996752717,59418.0487148217,56284.0501512491,61486.1592855715,56933.6342678833,55744.2006819227,55661.0023624136,56773.7511092909,51473.184650514,49951.9602014659,51578.1213984354,45247.401117644,48676.2736825419
"M148T942",1.91402447537153,-25.8880188578102,8.77766348494902e-09,3.2324852544824e-07,147.930520156847,147.929650289123,147.930879165944,942.032958493999,940.40220494512,956.476862633249,40,4,4,4,3,4,5,3,5,4,4,1361183.98555141,1375177.491705,1434616.97548452,1399437.06864697,1316927.33627348,916087.906545581,1265703.08964293,1842115.32854405,1519468.09021062,880379.183469244,1971077.62460865,1212067.44344625,1285217.0575376,2233112.45577129,2265115.70332922,1667916.68758657,1152033.2177591,1203640.15817736,2181058.35807929,2159459.01276209,1211752.91074143,1221400.78522812,1172117.96944876,1433038.75588455,1202893.13006936,1020681.79924528,1111469.56538559,1095017.45336114,1028412.03752092,996240.334333805,922480.573102528,886307.788522427,831951.819693639,798796.519914817,938177.221622755,893567.694765641,835191.533119251,840509.771712788,870338.890777073,808480.511782482,762791.195263777,710628.357001526,772109.273212441,736376.520951095,775569.487149521,697432.126815463,700053.903008516,688924.694856726
"M187T1010",2.25107822938037,-30.109858098521,1.29295447681699e-08,8.30506346783414e-22,186.956341194107,186.955238037221,186.956842780781,1009.8465376862,1007.87774361233,1011.27360576059,48,5,5,5,3,5,5,5,5,5,5,138703.043059451,140550.719419674,132700.020135213,129418.002652134,132696.667595144,102988.988056304,116269.06822961,103766.094869876,94710.7346254432,90129.3127079857,94099.9558000476,94647.7619683068,95133.3079679342,90896.5400529899,94733.0954224799,70276.5245459076,90549.0671965068,83333.2671981979,87442.7338776956,87787.14139128,80195.4918639726,86941.3733657925,87355.7941852469,87281.5755364236,84065.5303316513,63326.2405600254,79569.2226083991,78238.7646238981,73574.9034843062,69099.0397970558,68667.3620128307,72974.6263232464,71702.668605122,70805.3413209151,74741.7052568613,76063.0966486198,76985.3560058397,73663.5164110364,77444.6450536518,74613.867648695,73557.498484402,71240.1503544223,74552.2861526634,58260.7904016115,63862.6977432994,57779.4690354221,57047.7401601378,62491.7849615151
"M493T838",1.63343583448885,36.0654875022058,3.66408364094184e-07,1.41110484570226e-27,493.311157609362,493.306716287771,493.316408222441,838.448942819776,836.466884641236,841.57567198782,48,5,5,5,3,5,5,5,5,5,5,50542.0561243059,46073.8174600734,47002.7890467613,49177.3285153977,49002.2824226333,51891.6995631408,54962.9516630452,58269.7008651129,58626.1167484773,60683.3582703331,65674.9717415085,64556.3364838832,67225.3260315837,69013.0114908211,70834.5403175667,68505.114109694,73940.8179376762,73053.7824892791,74644.3083805347,74524.0243425075,76919.0162742111,78681.8867835129,78226.9474034057,80590.4044980454,79558.4191703672,79407.5533215134,81375.8465337266,81711.2785774821,81300.7803324679,78496.6669072208,81178.1437190806,82644.3624907654,82955.2462186122,83711.6004142431,81389.8251966937,78145.0209732688,81369.8321283648,80277.5250142639,80862.7360249142,81080.195698778,78960.1579647946,77544.3816822496,77658.9924170794,78867.2415237376,78593.9015427899,79101.8668437463,79988.6577096405,78410.297145509
"M83T181",3.19407587535565,13.3165170344393,9.72126549703134e-07,1.06382074048294e-07,83.0839970462873,83.0826336063432,83.084415582374,180.585853484954,179.981940832703,181.03437143218,5,0,0,0,0,4,0,0,0,0,1,9869.81076543691,9325.06074112696,12477.5286412221,8592.74746872468,5736.57923442701,14587.006563293,10610.5209311815,13633.5673787217,15924.0207821795,13844.9857444833,15830.9700259465,8580.87053527234,14194.2348903287,10355.2992581102,9305.3332550481,19647.0206817285,20964.9030398049,18724.6235620831,14655.6477213209,16340.2683375924,14264.2091219712,9219.56537493552,16013.2599249667,11036.3071997807,11111.8553529033,18443.5178700147,15573.0296746077,12527.4860171795,16458.1460376624,18684.086521551,20355.58635429,14365.5550183838,20961.9586390735,14456.3397902233,14363.8851989128,13967.8768440109,13450.8051338666,21710.9445070396,18688.9364714418,17282.6034371794,35570.8920483089,20485.4562002954,11010.970769762,27306.8865782511,28350.5982294444,31563.8731120754,32285.6408756747,27426.0071638345
"M518T959",1.91705028922906,16.1608047621819,1.40519293889696e-06,6.11357843641428e-23,518.341846091144,518.338171692186,518.343654415414,958.682183271392,958.036939506365,959.152561703744,41,3,5,5,3,4,1,5,5,5,5,25989.783029254,25103.6985885172,26097.1137292241,29827.2950858822,32120.3690200591,35450.4079068677,37368.774797287,38358.4585089701,40106.21543163,42996.3001987899,44679.8842975926,43961.7842253924,45936.1000429208,45574.2812585574,46339.5534011883,45894.0360467028,48181.6840712659,45241.165201559,49080.3687740809,48975.1517510449,49098.6563798485,47042.8396628293,49237.010562113,52717.5904776082,51934.1776173014,53954.6506263476,53178.1499712967,52544.6677638862,54557.3393914788,53927.7934890253,54680.6945745998,53894.0046285269,50647.3029625804,52692.846585487,53603.7664721596,56588.3739732078,56525.4456728547,51924.6062305101,55453.8561089099,56545.0422000043,55247.8125536574,53811.0635173275,53274.0026638366,50643.1062411463,54557.185855853,54601.4633500422,54746.1213609189,52187.1637191196
"M159T1010",2.21627484848851,-22.6771466467852,2.43689636558742e-06,4.24750932934618e-22,158.961213347749,158.960328202705,158.961604240444,1010.02708182615,1007.87774361233,1011.27360576059,47,5,5,5,3,5,4,5,5,5,5,454011.380055787,453302.700718465,429661.197191047,414542.289895326,406311.676736199,331309.201536219,364549.596454785,324642.344335316,308933.086956306,292041.24221511,306725.449313325,311074.731790106,300854.238347653,301289.501565417,313472.062523052,231807.169471028,290632.287161956,270355.88009445,283983.786390166,276248.240683035,262990.921173875,287459.105312985,272441.585647589,279930.86543693,274480.596861425,204920.624887,256486.148116917,250471.962072548,235315.633521192,220175.001306065,225563.930125259,243062.8889912,239686.84893298,229894.425194539,240290.852911938,257583.363079153,246893.051481401,240510.857729612,253518.149287745,242041.722402954,235804.611254575,238008.264117436,243878.088534841,194433.205552734,203930.253351656,190859.162124732,183215.352965473,201190.926801916
"M260T274",4.06532199470302,-13.4532008931347,2.4808580105784e-06,6.51470830139959e-10,260.015900183551,260.01041520777,260.020603818517,273.645205076556,272.379925198159,274.139402575172,6,0,0,0,0,0,4,1,1,0,0,38351.9908106261,35607.3409235649,39791.013345515,33285.4420978113,43497.6972417796,20826.8608672333,37209.5093390018,31865.9279857939,20913.2686583692,15620.3761322172,20304.8958128202,21577.7810797801,19718.1451815368,21091.9630688132,23628.5199300736,11967.1120038367,23573.2682360606,21034.9397323305,26497.9740643792,22539.8769037808,11844.9200221866,22151.3376380283,9761.00371052278,14294.1431703433,17704.534415886,4342.61127991372,20753.8180472712,16302.6814237887,11348.2170843147,5999.47398340848,8614.83850250789,5234.68052434507,3942.49077742743,4136.18207194939,15822.5428139302,22312.6777792177,18828.9158949859,8402.43848929506,12817.2628581085,10597.9023462688,6217.00053037149,7662.45348640667,15998.3406128601,5684.05428517012,12943.7525982835,10874.7331015625,9009.26373210879,8356.1896835345
